집계시,출발영업소코드,도착영업소코드,통행시간,요일,arrive_traffic,rain-1
9,101,140,24698,3,70,0
17,101,140,33637,3,70,0
1,101,140,25284,3,70,0
7,101,140,25395,3,70,0
19,101,140,33948,3,70,0
4,101,140,23540,3,70,0
6,101,140,23220,3,70,0
19,101,140,30973,3,70,0
18,101,140,32091,3,70,0
21,101,140,16309,3,70,0
22,101,140,17173,3,70,0
1,101,140,17997,3,70,0
2,101,140,17894,3,70,0
5,101,140,22074,3,70,0
11,101,140,27269,3,70,0
20,101,140,29850,3,70,0
13,101,140,29045,3,70,0
7,101,140,24099,3,70,0
9,101,140,25742,3,70,0
10,101,140,26505,3,70,0
12,101,140,28157,3,70,0
17,101,140,32367,3,70,0
4,101,140,21597,3,70,0
22,101,140,22742,4,64,0
7,101,140,30111,4,64,0
7,101,140,19997,4,64,0
23,101,140,20207,4,64,0
14,101,140,27291,4,64,0
9,101,140,20493,4,64,0
18,101,140,27300,4,64,0
2,101,140,18961,4,64,0
6,101,140,20541,4,64,0
2,101,140,23441,4,64,0
1,101,140,24708,4,64,0
15,101,140,28849,4,64,0
17,101,140,29405,4,64,0
13,101,140,26014,4,64,0
3,101,140,22824,4,64,0
12,101,140,24906,4,64,0
21,101,140,21944,4,64,0
21,101,140,22037,4,64,0
5,101,140,21355,4,64,0
0,101,140,25404,4,64,0
4,101,140,22707,4,64,0
10,101,140,27642,4,64,0
8,101,140,20461,4,64,0
8,101,140,27496,4,64,0
10,101,140,21996,4,64,0
19,101,140,22559,4,64,0
11,101,140,23835,4,64,0
20,101,140,24582,4,64,0
16,101,140,30042,4,64,0
9,101,140,29430,4,64,0
19,101,140,26931,4,64,0
20,101,140,22488,4,64,0
5,101,140,25033,4,64,0
4,101,140,21721,4,64,0
6,101,140,27572,4,64,0
3,101,140,20341,4,64,0
4,101,140,17279,2,76,0
17,101,140,20615,2,76,0
22,101,140,16769,2,76,0
10,101,140,16730,2,76,0
11,101,140,18030,2,76,0
21,101,140,17326,2,76,0
6,101,140,15569,2,76,0
8,101,140,15032,2,76,0
15,101,140,20843,2,76,0
14,101,140,20287,2,76,0
7,101,140,14830,2,76,0
23,101,140,15580,2,76,0
18,101,140,19007,2,76,0
18,101,140,19668,2,76,0
2,101,140,19391,2,76,0
3,101,140,18363,2,76,0
9,101,140,16060,2,76,0
13,101,140,20191,2,76,0
1,101,140,19298,2,76,0
5,101,140,16546,2,76,0
16,101,140,20407,2,76,0
12,101,140,18824,2,76,0
19,101,140,18746,2,76,0
0,101,140,20459,2,76,0
20,101,140,18004,2,76,0
4,101,140,15131,3,56,0
3,101,140,15672,3,56,0
20,101,140,19055,3,56,0
21,101,140,17813,3,56,0
11,101,140,17227,3,56,0
22,101,140,16472,3,56,0
1,101,140,15155,3,56,0
6,101,140,16224,3,56,0
22,101,140,17199,3,56,0
8,101,140,15722,3,56,0
8,101,140,16549,3,56,0
23,101,140,15288,3,56,0
16,101,140,21945,3,56,0
16,101,140,21174,3,56,0
2,101,140,15880,3,56,0
15,101,140,20209,3,56,0
15,101,140,22210,3,56,0
5,101,140,16088,3,56,0
14,101,140,19323,3,56,0
18,101,140,20587,3,56,0
0,101,140,14649,3,56,0
18,101,140,21320,3,56,0
19,101,140,20435,3,56,0
12,101,140,18536,3,56,0
10,101,140,16482,3,56,0
17,101,140,20733,3,56,0
7,101,140,15829,3,56,0
9,101,140,16046,3,56,0
19,101,140,20777,3,56,0
21,101,140,18615,3,56,0
13,101,140,18643,3,56,0
20,101,140,19835,3,56,0
17,101,140,21860,3,56,0
19,101,140,17448,0,33,0
21,101,140,15891,0,33,0
20,101,140,17160,0,33,0
10,101,140,15645,0,33,0
23,101,140,14787,0,33,0
11,101,140,16170,0,33,0
18,101,140,18263,0,33,0
7,101,140,14301,0,33,0
13,101,140,17078,0,33,0
3,101,140,13854,0,33,0
4,101,140,14049,0,33,0
22,101,140,16491,0,33,0
16,101,140,18949,0,33,0
6,101,140,13991,0,33,0
9,101,140,15039,0,33,0
9,101,140,16337,0,33,0
8,101,140,14698,0,33,0
1,101,140,14247,0,33,0
2,101,140,14254,0,33,0
0,101,140,13831,0,33,0
17,101,140,19034,0,33,0
15,101,140,18457,0,33,0
5,101,140,14041,0,33,0
12,101,140,16294,0,33,0
14,101,140,17245,0,33,0
12,101,140,15586,0,20,0
22,101,140,15462,0,20,0
20,101,140,15555,0,20,0
3,101,140,14663,0,20,0
1,101,140,15192,0,20,0
2,101,140,14781,0,20,0
18,101,140,18137,0,20,0
4,101,140,14389,0,20,0
5,101,140,14568,0,20,0
