집계일자,집계시,출발영업소코드,도착영업소코드,TCS차종구분코드,통행시간
20180923,21,101,140,1,20970
20180923,10,101,140,1,19431
20180923,21,101,140,6,18267
20180923,13,101,140,1,22983
20180923,13,101,140,6,23236
20180923,14,101,140,1,23264
20180923,17,101,140,1,22373
20180923,22,101,140,1,21412
20180923,20,101,140,6,18907
20180923,20,101,140,1,20527
20180923,8,101,140,6,16308
20180923,8,101,140,1,16984
20180923,18,101,140,1,21253
20180923,7,101,140,1,16599
20180923,7,101,140,6,17248
20180923,11,101,140,1,20624
20180923,15,101,140,1,23746
20180923,3,101,140,1,17429
20180923,16,101,140,1,24119
20180923,23,101,140,1,19806
20180923,2,101,140,1,17878
20180923,9,101,140,1,18650
20180923,9,101,140,6,19077
20180923,19,101,140,1,21000
20180923,12,101,140,1,21768
20180923,1,101,140,1,18817
20180923,6,101,140,1,16899
20180923,0,101,140,1,20162
20180923,4,101,140,1,16897
20180923,5,101,140,1,17130
20180923,11,101,140,6,20590
20180923,12,101,140,6,21817
20180923,10,101,140,6,19637
