집계일자,집계시,출발영업소코드,도착영업소코드,TCS차종구분코드,통행시간
20200124,22,101,140,1,22742
20200124,7,101,140,6,30111
20200124,7,101,140,1,19997
20200124,23,101,140,1,20207
20200124,14,101,140,1,27291
20200124,9,101,140,1,20493
20200124,18,101,140,1,27300
20200124,2,101,140,6,18961
20200124,6,101,140,1,20541
20200124,2,101,140,1,23441
20200124,1,101,140,1,24708
20200124,15,101,140,1,28849
20200124,17,101,140,1,29405
20200124,13,101,140,1,26014
20200124,3,101,140,1,22824
20200124,12,101,140,1,24906
20200124,21,101,140,1,21944
20200124,21,101,140,6,22037
20200124,5,101,140,1,21355
20200124,0,101,140,1,25404
20200124,4,101,140,1,22707
20200124,5,101,140,3,-1
20200124,10,101,140,6,27642
20200124,8,101,140,1,20461
20200124,8,101,140,6,27496
20200124,10,101,140,1,21996
20200124,19,101,140,6,22559
20200124,11,101,140,1,23835
20200124,16,101,140,2,-1
20200124,20,101,140,1,24582
20200124,16,101,140,1,30042
20200124,9,101,140,6,29430
20200124,19,101,140,1,26931
20200124,20,101,140,6,22488
20200124,5,101,140,6,25033
20200124,4,101,140,6,21721
20200124,6,101,140,6,27572
20200124,3,101,140,6,20341
