지점명,일시,강수량(mm),강수 기록,전날강수
서울,2022-01-27,0.0,0,0.0
서울,2022-01-28,0.0,0,0.0
서울,2022-01-29,0.0,0,0.0
서울,2022-01-30,0.0,0,0.0
서울,2022-01-31,1.2,1,0.0
서울,2022-02-01,1.7,1,1.0
서울,2022-02-02,0.0,0,1.0
서울,2022-02-03,0.0,0,0.0
서울,2022-02-04,0.0,0,0.0
서울,2022-02-05,0.0,0,0.0
서울,2022-02-06,0.0,0,0.0
서울,2022-02-07,0.0,0,0.0
서울,2022-02-08,0.0,0,0.0
서울,2022-02-09,0.0,0,0.0
서울,2022-02-10,0.0,0,0.0
서울,2022-02-11,0.0,0,0.0
서울,2022-02-12,0.0,0,0.0
서울,2022-02-13,0.0,0,0.0
서울,2022-02-14,1.7,1,0.0
서울,2022-02-15,0.0,0,1.0
서울,2022-02-16,0.0,0,0.0
서울,2022-02-17,0.0,0,0.0
서울,2022-02-18,0.0,0,0.0
서울,2022-02-19,0.1,1,0.0
서울,2022-02-20,0.0,0,1.0
서울,2022-02-21,0.1,1,0.0
서울,2022-02-22,0.0,0,1.0
서울,2022-02-23,0.0,0,0.0
서울,2022-02-24,0.0,0,0.0
서울,2022-02-25,0.0,0,0.0
서울,2022-02-26,1.1,1,0.0
서울,2022-02-27,0.0,0,1.0
서울,2022-02-28,0.0,0,0.0
