집계일자,집계시,출발영업소코드,도착영업소코드,TCS차종구분코드,통행시간
20190912,16,101,140,1,31968
20190912,16,101,140,6,32642
20190912,11,101,140,1,25652
20190912,10,101,140,1,24743
20190912,6,101,140,1,26556
20190912,21,101,140,6,28726
20190912,8,101,140,6,24978
20190912,21,101,140,1,29862
20190912,14,101,140,1,30129
20190912,8,101,140,1,25223
20190912,14,101,140,6,29933
20190912,13,101,140,1,28020
20190912,18,101,140,1,35395
20190912,20,101,140,3,15801
20190912,20,101,140,1,30999
20190912,3,101,140,3,17340
20190912,3,101,140,1,24020
20190912,2,101,140,6,20292
20190912,3,101,140,6,21119
20190912,2,101,140,1,24186
20190912,22,101,140,1,26664
20190912,23,101,140,1,23797
20190912,5,101,140,1,26769
20190912,0,101,140,3,18057
20190912,23,101,140,3,21845
20190912,0,101,140,1,24632
20190912,15,101,140,6,31239
20190912,15,101,140,1,31734
20190912,12,101,140,1,26845
20190912,9,101,140,1,24698
20190912,17,101,140,1,33637
20190912,1,101,140,1,25284
20190912,7,101,140,1,25395
20190912,19,101,140,1,33948
20190912,4,101,140,1,23540
20190912,6,101,140,6,23220
20190912,19,101,140,6,30973
20190912,18,101,140,6,32091
20190912,21,101,140,3,16309
20190912,22,101,140,3,17173
20190912,1,101,140,3,17997
20190912,2,101,140,3,17894
20190912,5,101,140,6,22074
20190912,11,101,140,6,27269
20190912,20,101,140,6,29850
20190912,13,101,140,6,29045
20190912,7,101,140,6,24099
20190912,9,101,140,6,25742
20190912,10,101,140,6,26505
20190912,12,101,140,6,28157
20190912,17,101,140,6,32367
20190912,4,101,140,6,21597
