집계일자,집계시,출발영업소코드,도착영업소코드,TCS차종구분코드,통행시간
20180215,6,101,140,1,18771
20180215,19,101,140,1,29017
20180215,13,101,140,1,24783
20180215,13,101,140,3,-1
20180215,13,101,140,6,24952
20180215,8,101,140,6,19276
20180215,15,101,140,1,27498
20180215,8,101,140,1,18807
20180215,23,101,140,1,19506
20180215,14,101,140,1,26516
20180215,17,101,140,1,30080
20180215,18,101,140,1,28622
20180215,16,101,140,1,29225
20180215,9,101,140,6,19371
20180215,0,101,140,6,24865
20180215,12,101,140,1,23824
20180215,9,101,140,1,19376
20180215,0,101,140,1,24191
20180215,7,101,140,1,18637
20180215,22,101,140,1,21322
20180215,5,101,140,1,19899
20180215,4,101,140,6,21368
20180215,2,101,140,6,22500
20180215,5,101,140,4,-1
20180215,4,101,140,1,20814
20180215,5,101,140,6,20073
20180215,1,101,140,1,23711
20180215,2,101,140,1,23111
20180215,4,101,140,3,-1
20180215,3,101,140,1,22033
20180215,11,101,140,1,21563
20180215,21,101,140,1,24183
20180215,20,101,140,1,27489
20180215,10,101,140,1,20286
20180215,7,101,140,6,19950
20180215,6,101,140,6,20045
20180215,1,101,140,6,24544
20180215,3,101,140,6,22398
20180215,11,101,140,6,21433
20180215,12,101,140,6,23069
20180215,10,101,140,6,20150
