집계일자,집계시,출발영업소코드,도착영업소코드,TCS차종구분코드,통행시간
20171003,18,101,140,1,28533
20171003,22,101,140,1,21735
20171003,4,101,140,1,18484
20171003,5,101,140,1,17948
20171003,5,101,140,3,-1
20171003,5,101,140,6,21128
20171003,6,101,140,1,17899
20171003,6,101,140,6,21719
20171003,11,101,140,1,20440
20171003,2,101,140,1,21405
20171003,3,101,140,1,19701
20171003,9,101,140,6,19593
20171003,17,101,140,1,28225
20171003,9,101,140,1,19068
20171003,14,101,140,1,24045
20171003,10,101,140,6,19908
20171003,16,101,140,1,27781
20171003,7,101,140,1,17126
20171003,10,101,140,1,19475
20171003,12,101,140,1,21693
20171003,19,101,140,6,31192
20171003,19,101,140,1,27157
20171003,15,101,140,1,26477
20171003,23,101,140,6,-1
20171003,23,101,140,1,21183
20171003,13,101,140,1,22932
20171003,8,101,140,6,20402
20171003,8,101,140,1,17523
20171003,20,101,140,6,28752
20171003,1,101,140,1,22180
20171003,20,101,140,1,26391
20171003,0,101,140,6,20111
20171003,0,101,140,1,23247
20171003,1,101,140,6,19121
20171003,21,101,140,1,24624
20171003,21,101,140,6,26355
20171003,3,101,140,6,19764
20171003,4,101,140,6,20536
20171003,7,101,140,6,22177
20171003,2,101,140,6,19443
