집계일자,집계시,출발영업소코드,도착영업소코드,TCS차종구분코드,통행시간
20210211,4,101,140,1,15131
20210211,3,101,140,1,15672
20210211,20,101,140,1,19055
20210211,21,101,140,1,17813
20210211,11,101,140,1,17227
20210211,22,101,140,1,16472
20210211,1,101,140,1,15155
20210211,6,101,140,1,16224
20210211,22,101,140,6,17199
20210211,8,101,140,1,15722
20210211,8,101,140,6,16549
20210211,23,101,140,1,15288
20210211,16,101,140,6,21945
20210211,16,101,140,1,21174
20210211,2,101,140,3,-1
20210211,2,101,140,1,15880
20210211,15,101,140,1,20209
20210211,15,101,140,6,22210
20210211,5,101,140,1,16088
20210211,14,101,140,1,19323
20210211,18,101,140,1,20587
20210211,0,101,140,1,14649
20210211,18,101,140,6,21320
20210211,19,101,140,1,20435
20210211,12,101,140,1,18536
20210211,10,101,140,1,16482
20210211,17,101,140,1,20733
20210211,7,101,140,1,15829
20210211,9,101,140,1,16046
20210211,19,101,140,6,20777
20210211,21,101,140,6,18615
20210211,13,101,140,1,18643
20210211,20,101,140,6,19835
20210211,17,101,140,6,21860
